day,streams,song,performer
12/1/17,999514,Santa Tell Me,Ariana Grande
12/2/17,1150459,Santa Tell Me,Ariana Grande
12/3/17,1238907,Santa Tell Me,Ariana Grande
12/4/17,1048136,Santa Tell Me,Ariana Grande
12/5/17,1026055,Santa Tell Me,Ariana Grande
12/6/17,989733,Santa Tell Me,Ariana Grande
12/7/17,987966,Santa Tell Me,Ariana Grande
12/8/17,1107956,Santa Tell Me,Ariana Grande
12/9/17,1310579,Santa Tell Me,Ariana Grande
12/10/17,1421892,Santa Tell Me,Ariana Grande
12/11/17,1205509,Santa Tell Me,Ariana Grande
12/12/17,1180267,Santa Tell Me,Ariana Grande
12/13/17,1135736,Santa Tell Me,Ariana Grande
12/14/17,1138959,Santa Tell Me,Ariana Grande
12/15/17,1155170,Santa Tell Me,Ariana Grande
12/16/17,1311944,Santa Tell Me,Ariana Grande
12/17/17,1233161,Santa Tell Me,Ariana Grande
12/18/17,1142651,Santa Tell Me,Ariana Grande
12/19/17,1169199,Santa Tell Me,Ariana Grande
12/20/17,1186376,Santa Tell Me,Ariana Grande
12/21/17,1428575,Santa Tell Me,Ariana Grande
12/22/17,1819767,Santa Tell Me,Ariana Grande
12/23/17,2139080,Santa Tell Me,Ariana Grande
12/24/17,3710487,Santa Tell Me,Ariana Grande
12/25/17,2648145,Santa Tell Me,Ariana Grande
12/26/17,886497,Santa Tell Me,Ariana Grande
12/27/17,0,Santa Tell Me,Ariana Grande
12/28/17,,Santa Tell Me,Ariana Grande
12/29/17,,Santa Tell Me,Ariana Grande
