performer,state,city,country,latitude,longitude,song
98 Degrees,OH,Masillon,United States,40.7967,-81.5215,THIS GIFT
Aly & AJ,CA,Torrance,United States,33.836319,-118.340042,GREATEST TIME OF YEAR
Andy Williams,IA,Wall Lake,United States,42.27086,-95.08916,IT'S THE MOST WONDERFUL TIME OF THE YEAR
Ariana Grande,FL,Boca Raton,United States,26.350519,-80.089828,"LAST CHRISTMAS, SANTA TELL ME"
Band-Aid,United Kingdom,London,United Kingdom,51.507351,-0.127758,DO THEY KNOW IT'S CHRISTMAS?
Bing Crosby,WA,Tacoma,United States,47.2529,-122.4443,"SILENT NIGHT, WHITE CHRISTMAS "
"Bobby ""Boris"" Pickett And The Crypt-Kickers",MA,Somerville,United States,42.3876,-71.0995,MONSTERS' HOLIDAY
Bobby Darin,NY,East Harlem,United States,40.7957,-73.9389,"CHILD OF GOD, CHRISTMAS AULD LANG SYNE"
Bobby Helms,IN,Bloomington,United States,39.1637, -86.524264,JINGLE BELL ROCK
Bobby Rydell/Chubby Checker,PA,Philadelphia,United States,40.009376,-75.133346,JINGLE BELL ROCK
Boyz II Men,PA,Philadelphia,United States,40.009376,-75.133346,LET IT SNOW
Brenda Lee,GA,Atlanta,United States,33.762909,-84.422675,ROCKIN' AROUND THE CHRISTMAS TREE
Brook Benton,SC,Camden,United States,34.255699,-80.608742,THIS TIME OF THE YEAR
Brooks & Dunn,TN,Nashville,United States,36.1718,-86.785002,BELIEVE
Burl Ives,IL,Hunt City Township,United States,39.0439,-88.0216,A HOLLY JOLLY CHRISTMAS
Charles Brown,TX,Texas City,United States,29.433717,-94.892695,PLEASE COME HOME FOR CHRISTMAS
Chris Brown,VA,Tappahannock,United States,37.912474,-76.86587,THIS CHRISTMAS
Chuck Berry,MO,St. Louis,United States,38.635699, -90.244582,RUN RUDOLPH RUN
Colbie Caillat,CA,Malibu,United States,34.036697,-118.781449,MISTLETOE
Coldplay,UK,London,United States,51.507351,-0.127758,CHRISTMAS LIGHTS
Connie Francis,NJ ,Newark,United States,40.72422,-74.172574,BABY'S FIRST CHRISTMAS
Dan Fogelberg,IL,Peoria,United States,40.752309,-89.617097,SAME OLD LANG SYNE
"Dancer, Prancer And Nervous",CA,Los Angeles,United States, 34.019394,-118.410825,THE HAPPY REINDEER
