day,streams,song,performer
12/1/17,921481,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/2/17,1106590,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/3/17,1127283,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/4/17,958877,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/5/17,917552,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/6/17,910072,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/7/17,937567,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/8/17,1069630,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/9/17,1319615,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/10/17,1317966,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/11/17,1094334,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/12/17,1023398,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/13/17,1003887,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/14/17,1029301,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/15/17,1108772,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/16/17,1254331,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/17/17,1205350,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/18/17,1137733,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/19/17,1224414,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/20/17,1250977,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/21/17,1542540,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/22/17,1795769,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/23/17,2053242,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/24/17,3210893,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/25/17,3589792,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/26/17,761942,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/27/17,0,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/28/17,,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
12/29/17,,Rockin' Around The Christmas Tree - Single Version,Brenda Lee
