url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/1958-12-13,12/13/58,83,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,NA,69,3,1958,12,13
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/58,57,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,NA,29,19,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/58,73,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,83,69,3,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/58,86,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,1,NA,12,13,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,44,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,NA,44,2,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,66,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,1,86,12,13,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,69,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,73,69,3,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,35,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,57,29,19,1958,12,27
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/59,45,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,35,29,19,1959,1,3
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/59,53,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,44,44,2,1959,1,3
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/59,70,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,45,29,19,1959,1,10
http://www.billboard.com/charts/hot-100/1959-12-05,12/5/59,83,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,NA,34,6,1959,12,5
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/59,89,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,NA,39,15,1959,12,12
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/59,80,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,83,34,6,1959,12,12
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/59,76,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,80,34,6,1959,12,19
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/59,96,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,NA,66,5,1959,12,19
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/59,68,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,89,39,15,1959,12,19
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,59,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,2,NA,12,13,1959,12,26
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,77,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,96,66,5,1959,12,26
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,34,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,76,34,6,1959,12,26
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,41,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,68,39,15,1959,12,26
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/60,45,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,34,34,6,1960,1,2
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/60,61,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,41,39,15,1960,1,2
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/60,75,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,77,66,5,1960,1,2
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/60,70,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,75,66,5,1960,1,9
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/60,62,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,61,39,15,1960,1,9
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/60,93,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,45,34,6,1960,1,9
http://www.billboard.com/charts/hot-100/1960-01-16,1/16/60,66,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,70,66,5,1960,1,16
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,66,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,NA,39,15,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,100,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,1,NA,38,8,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,64,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,NA,14,18,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,55,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,NA,12,13,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,69,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,NA,29,19,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,64,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,NA,54,2,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,46,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,69,29,19,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,26,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,64,14,18,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,78,TWISTIN' BELLS,Santo & Johnny,Twistin' BellsSanto & Johnny,1,NA,49,3,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,89,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,NA,51,3,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,32,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,55,12,13,1960,12,17
