url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/2000-01-01,"1/1/00 through
1/15/00",53,THIS GIFT,98 Degrees,This Gift98 Degrees,1,NA,49,3,2000,1,1
http://www.billboard.com/charts/hot-100/2006-12-09,12/9/06,96,GREATEST TIME OF YEAR,Aly & AJ,Greatest Time Of YearAly & AJ,1,NA,96,1,2006,12,9
http://www.billboard.com/charts/hot-100/2017-01-07,1/7/17,48,IT'S THE MOST WONDERFUL TIME OF THE YEAR,Andy Williams,It's The Most Wonderful Time Of The YearAndy Williams,1,NA,48,1,2017,1,7
http://www.billboard.com/charts/hot-100/2013-12-07,12/7/13,96,LAST CHRISTMAS,Ariana Grande,Last ChristmasAriana Grande,1,NA,96,1,2013,12,7
http://www.billboard.com/charts/hot-100/2014-12-13,"12/13/14 through
1/10/15",65,SANTA TELL ME,Ariana Grande,Santa Tell MeAriana Grande,1,NA,42,5,2014,12,13
http://www.billboard.com/charts/hot-100/1984-12-22,"12/22/84 through
1/26/85",65,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,Do They Know It's Christmas?Band-Aid,1,NA,13,9,1984,12,22
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60 through 12/24/60,64,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,NA,54,2,1960,12,17
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/58 through 12/27/58,86,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,1,NA,12,13,1958,12,20
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,59,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,2,NA,12,13,1959,12,26
http://www.billboard.com/charts/hot-100/1960-12-10,"12/10/60 through
12/24/60",55,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,NA,12,13,1960,12,10
http://www.billboard.com/charts/hot-100/1961-12-09,12/9/61 through 1/6/62,66,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,4,NA,12,13,1961,12,9
