url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day,previous_peak_position,lyrics
http://www.billboard.com/charts/hot-100/1958-12-13,12/13/1958,83,RUN RUDOLPH RUN,Chuck Berry,RUN RUDOLPH RUN,1,NA,69,3,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,13,NaN,Out of all the reindeers you know you're the mastermind Run run Rudolph Randalph ain't too far behind Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph cause I'm reeling like a merry go round Said Santa to a boy Child what have you been longing for All I want for Christmas is a Rock and Roll electric guitar And then away went Rudolph whizzing like a shooting star Run run Rudolph Santa has to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph reeling like a merry go round Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph I'm reeling like a merry go round Said Santa to a girl Child what would please you most to get A little baby doll that can cry sleep drink and wet And then away went Rudolph whizzing like a Saber jet Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph I'm reeling like a merry go round
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,57,JINGLE BELL ROCK,Bobby Helms,JINGLE BELL ROCK,1,NA,29,19,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,20,NaN,Jingle bell jingle bell jingle bell rock Jingle bells swing and jingle bells ring Snowin and blowin up bushels of fun Now the jingle hop has begun Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell rock Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell That's the jingle bell That's the jingle bell rock
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,73,RUN RUDOLPH RUN,Chuck Berry,RUN RUDOLPH RUN,1,83,69,3,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,20,NaN,Out of all the reindeers you know you're the mastermind Run run Rudolph Randalph ain't too far behind Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph cause I'm reeling like a merry go round Said Santa to a boy Child what have you been longing for All I want for Christmas is a Rock and Roll electric guitar And then away went Rudolph whizzing like a shooting star Run run Rudolph Santa has to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph reeling like a merry go round Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph I'm reeling like a merry go round Said Santa to a girl Child what would please you most to get A little baby doll that can cry sleep drink and wet And then away went Rudolph whizzing like a Saber jet Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph I'm reeling like a merry go round
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,86,WHITE CHRISTMAS,Bing Crosby,WHITE CHRISTMAS,1,NA,12,13,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,20,NaN,I'm dreaming of a white Christmas Just like the ones I used to know Where the treetops glisten and children listen To hear sleigh bells in the snow I'm dreaming of a white Christmas With every Christmas card I write May your days be merry and bright And may all your Christmases be white
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,44,GREEN CHRI$TMA$,Stan Freberg,GREEN CHRI$TMA$,1,NA,44,2,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,27,NaN,SCROOGE Bah humbug everybody CHORUS Good morning Mr Scrooge SCROOGE Well the meeting will come to order if you please Are all the advertising people represented here CHORUS Everyone except Amalgamated Cheese SCROOGE Well if they're not here for the Christmas pitch I can't help them find new ways of tying their product in to Christmas That's why I'm chairman of this board Let's hear it for me CHORUS Hear hear SCROOGE All right Abercrombie what are your people up to ABERCROMBIE Ahhh same thing as every year Fifty thousand billboards showing Santa Claus pausing to refresh himself with our product SCROOGE Mmmmm hmmm well I think the public has come to expect that and ABERCROMBIE That's right It's become tradition SCROOGE You there Crass uhh I suppose your company's running the usual magazine ads showing cartons of your cigarettes peeking out of the top of Santa's sack CRASS Better than that This year we have him smoking one SCROOGE Um hmmm CRASS Yes We've got Santa a little more rugged too Both sleeves rolled up and a tattoo on each arm One of em says Merry Christmas SCROOGE What does the other one say CRASS Less tar SCROOGE Great stuff CRATCHET But Mr Scrooge SCROOGE What Who are you CRATCHET Bob Cratchet sir I've got a little spice company over in East Orange New Jersey Do I have to tie my product in to Christmas SCROOGE What do you mean CRATCHET Well I was just going to send cards out showing the three wise men following the Star of Bethlehem SCROOGE I get it And they're bearing your spices Now that's perfect CRATCHET No no no product in it I was just going to say Peace on Earth Good Will Toward Men MAN Well that's a peculiar slogan SCROOGE Old hat Cratchet That went out with button shoes You're a businessman Christmas is something to take advantage of SCROOGE A red and green bandwagon to jump on SCROOGE A sentimental shot in the arm for sales Listen CHORUS Deck the halls with advertising Fa la la la la la la la la While you can be enterprising Fa la la la la la la la la On the fourth day of Christmas My true love gave to me Four bars of soap Three cans of peas Two breakfast foods And some toothpaste on a pear tree On the fifth day of Christmas My true love gave to me SCROOGE Five tube less tires CHORUS Fo ur quarts of gin Three ci gars Two cig ar ettes And some hair tonic on a pear tree Chest nuts roasting ANNOUNCER Sayyyy Mother as sure as there's an X in Christmas you can be sure those are Tiny Tim Chestnuts roasting Tin y Tim Chestnuts are frill bodied longer lasting This visible shell protects the nut Now with X K 29 added for people who can't roast after every meal GIRL TRIO Tin ee Tim Tin ee Tim Chest nuts all the way ANNOUNCER Tin y Tim's roast hot like a chestnut ought And they are ECHO mild mild mild mild CHORUS Deck the halls with advertising Fa la la la la la la la la Tis the time for merchandising Fa la la la la la la la la Profit never needs a reason Fa la la la la la la la la Get the money it's the season Fa la la la la la la la la SCROOGE Words to live by Cratchet CRATCHET For you maybe Can't you just wish someone merry Christmas for the pure joy of doing it SCROOGE Why What's the percentage in that Let me show you how to make Christmas work for you CHORUS We wish you a merry Christmas We wish you a merry Christmas We wish you a merry Christmas And please buy our beer SCROOGE There you go Cratchet That's Christmas with a purpose CRATCHET I know but wait a minute Don't you guys make enough profit the other eleven months Christmas comes but once a year SCROOGE Humph Funny thing you should bring that up That's exactly the point I was about to make Hit it boys SCROOGE Christmas comes but once a year So you better make hay while the snow is falling That's opportunity calling you CHORUS Rub your hands December's here What a wonderful time to be Glad and merry SCROOGE Just so you're mercenary too CHORUS Buy an ad and show all the toys Show all the toys up on the shelf SCROOGE Just make sure that you get a plug You get a plug In for yourself SCROOGE AND CHORUS Christmas comes but once a year So you better cash in While the spirit lingers It's slipping through your fingers Boy Don't you realize Christmas can be such a Monetary joy CRATCHET Well I guess you fellows will never change SCROOGE Why should we Christmas has two s's in it and they're both dollar signs CRATCHET Yeah but they weren't there to begin with SCROOGE Eh CRATCHET The people keep hoping you'll remember But you never do SCROOGE Remember what CRATCHET Whose birthday we're celebrating SCROOGE Well don't get me wrong The story of Christmas in it's simplicity is a good thing I'll buy that It's just that we know a good thing when we see it CRATCHET But don't you realize Christmas has a significance a meaning SCROOGE A sales curve Wake up Cratchet it's later than you think CRATCHET I know Mr Scrooge I know CHORUS On the first day of Christmas The advertising's there with Newspaper ads Billboards too Business Christmas cards And commercials on a pear tree Jingles here jingles there Jingles all the way Dashing through the snow In a fifty foot coup e O'er the fields we go Selling all the way Deck the halls with advertising What's the use of compromising Fa la la la la la la la la
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,66,WHITE CHRISTMAS,Bing Crosby,WHITE CHRISTMAS,1,86,12,13,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,27,NaN,I'm dreaming of a white Christmas Just like the ones I used to know Where the treetops glisten and children listen To hear sleigh bells in the snow I'm dreaming of a white Christmas With every Christmas card I write May your days be merry and bright And may all your Christmases be white
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,69,RUN RUDOLPH RUN,Chuck Berry,RUN RUDOLPH RUN,1,73,69,3,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,27,NaN,Out of all the reindeers you know you're the mastermind Run run Rudolph Randalph ain't too far behind Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph cause I'm reeling like a merry go round Said Santa to a boy Child what have you been longing for All I want for Christmas is a Rock and Roll electric guitar And then away went Rudolph whizzing like a shooting star Run run Rudolph Santa has to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph reeling like a merry go round Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph I'm reeling like a merry go round Said Santa to a girl Child what would please you most to get A little baby doll that can cry sleep drink and wet And then away went Rudolph whizzing like a Saber jet Run run Rudolph Santa's got to make it to town Santa make him hurry tell him he can take the freeway down Run run Rudolph I'm reeling like a merry go round
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,35,JINGLE BELL ROCK,Bobby Helms,JINGLE BELL ROCK,1,57,29,19,Wed Jan 01 1958 00:00:00 GMT-0500 (hora estándar oriental),12,27,NaN,Jingle bell jingle bell jingle bell rock Jingle bells swing and jingle bells ring Snowin and blowin up bushels of fun Now the jingle hop has begun Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell rock Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell That's the jingle bell That's the jingle bell rock
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/1959,45,JINGLE BELL ROCK,Bobby Helms,JINGLE BELL ROCK,1,35,29,19,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),1,3,NaN,Jingle bell jingle bell jingle bell rock Jingle bells swing and jingle bells ring Snowin and blowin up bushels of fun Now the jingle hop has begun Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell rock Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell That's the jingle bell That's the jingle bell rock
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/1959,53,GREEN CHRI$TMA$,Stan Freberg,GREEN CHRI$TMA$,1,44,44,2,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),1,3,NaN,SCROOGE Bah humbug everybody CHORUS Good morning Mr Scrooge SCROOGE Well the meeting will come to order if you please Are all the advertising people represented here CHORUS Everyone except Amalgamated Cheese SCROOGE Well if they're not here for the Christmas pitch I can't help them find new ways of tying their product in to Christmas That's why I'm chairman of this board Let's hear it for me CHORUS Hear hear SCROOGE All right Abercrombie what are your people up to ABERCROMBIE Ahhh same thing as every year Fifty thousand billboards showing Santa Claus pausing to refresh himself with our product SCROOGE Mmmmm hmmm well I think the public has come to expect that and ABERCROMBIE That's right It's become tradition SCROOGE You there Crass uhh I suppose your company's running the usual magazine ads showing cartons of your cigarettes peeking out of the top of Santa's sack CRASS Better than that This year we have him smoking one SCROOGE Um hmmm CRASS Yes We've got Santa a little more rugged too Both sleeves rolled up and a tattoo on each arm One of em says Merry Christmas SCROOGE What does the other one say CRASS Less tar SCROOGE Great stuff CRATCHET But Mr Scrooge SCROOGE What Who are you CRATCHET Bob Cratchet sir I've got a little spice company over in East Orange New Jersey Do I have to tie my product in to Christmas SCROOGE What do you mean CRATCHET Well I was just going to send cards out showing the three wise men following the Star of Bethlehem SCROOGE I get it And they're bearing your spices Now that's perfect CRATCHET No no no product in it I was just going to say Peace on Earth Good Will Toward Men MAN Well that's a peculiar slogan SCROOGE Old hat Cratchet That went out with button shoes You're a businessman Christmas is something to take advantage of SCROOGE A red and green bandwagon to jump on SCROOGE A sentimental shot in the arm for sales Listen CHORUS Deck the halls with advertising Fa la la la la la la la la While you can be enterprising Fa la la la la la la la la On the fourth day of Christmas My true love gave to me Four bars of soap Three cans of peas Two breakfast foods And some toothpaste on a pear tree On the fifth day of Christmas My true love gave to me SCROOGE Five tube less tires CHORUS Fo ur quarts of gin Three ci gars Two cig ar ettes And some hair tonic on a pear tree Chest nuts roasting ANNOUNCER Sayyyy Mother as sure as there's an X in Christmas you can be sure those are Tiny Tim Chestnuts roasting Tin y Tim Chestnuts are frill bodied longer lasting This visible shell protects the nut Now with X K 29 added for people who can't roast after every meal GIRL TRIO Tin ee Tim Tin ee Tim Chest nuts all the way ANNOUNCER Tin y Tim's roast hot like a chestnut ought And they are ECHO mild mild mild mild CHORUS Deck the halls with advertising Fa la la la la la la la la Tis the time for merchandising Fa la la la la la la la la Profit never needs a reason Fa la la la la la la la la Get the money it's the season Fa la la la la la la la la SCROOGE Words to live by Cratchet CRATCHET For you maybe Can't you just wish someone merry Christmas for the pure joy of doing it SCROOGE Why What's the percentage in that Let me show you how to make Christmas work for you CHORUS We wish you a merry Christmas We wish you a merry Christmas We wish you a merry Christmas And please buy our beer SCROOGE There you go Cratchet That's Christmas with a purpose CRATCHET I know but wait a minute Don't you guys make enough profit the other eleven months Christmas comes but once a year SCROOGE Humph Funny thing you should bring that up That's exactly the point I was about to make Hit it boys SCROOGE Christmas comes but once a year So you better make hay while the snow is falling That's opportunity calling you CHORUS Rub your hands December's here What a wonderful time to be Glad and merry SCROOGE Just so you're mercenary too CHORUS Buy an ad and show all the toys Show all the toys up on the shelf SCROOGE Just make sure that you get a plug You get a plug In for yourself SCROOGE AND CHORUS Christmas comes but once a year So you better cash in While the spirit lingers It's slipping through your fingers Boy Don't you realize Christmas can be such a Monetary joy CRATCHET Well I guess you fellows will never change SCROOGE Why should we Christmas has two s's in it and they're both dollar signs CRATCHET Yeah but they weren't there to begin with SCROOGE Eh CRATCHET The people keep hoping you'll remember But you never do SCROOGE Remember what CRATCHET Whose birthday we're celebrating SCROOGE Well don't get me wrong The story of Christmas in it's simplicity is a good thing I'll buy that It's just that we know a good thing when we see it CRATCHET But don't you realize Christmas has a significance a meaning SCROOGE A sales curve Wake up Cratchet it's later than you think CRATCHET I know Mr Scrooge I know CHORUS On the first day of Christmas The advertising's there with Newspaper ads Billboards too Business Christmas cards And commercials on a pear tree Jingles here jingles there Jingles all the way Dashing through the snow In a fifty foot coup e O'er the fields we go Selling all the way Deck the halls with advertising What's the use of compromising Fa la la la la la la la la
