day,position,streams
12/1/17,12,2759962
12/2/17,7,3145919
12/3/17,4,3216235
12/4/17,11,2629693
12/5/17,11,2620104
12/6/17,11,2630111
12/7/17,10,2682297
12/8/17,6,3091475
12/9/17,3,3646794
12/10/17,3,3506287
12/11/17,6,2775593
12/12/17,7,2720747
12/13/17,6,2768504
12/14/17,6,2886430
12/15/17,5,3169712
12/16/17,4,3648347
12/17/17,3,3356225
12/18/17,5,2923650
12/19/17,4,3077592
12/20/17,4,3312544
12/21/17,4,3675940
12/22/17,2,4355458
12/23/17,1,5023033
12/24/17,1,8069105
12/25/17,1,6467590
12/26/17,15,1924430
12/27/17,64,967135
12/28/17,129,664059
12/29/17,198,485353
