day,streams,song,performer
12/1/17,1117987,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/2/17,1258973,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/3/17,1440761,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/4/17,1146898,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/5/17,1114278,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/6/17,1056601,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/7/17,1004594,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/8/17,1206078,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/9/17,1446252,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/10/17,1568444,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/11/17,1262792,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/12/17,1220921,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/13/17,1210292,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/14/17,1193887,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/15/17,1291174,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/16/17,1458989,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/17/17,1461019,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/18/17,1308866,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/19/17,1395154,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/20/17,1503738,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/21/17,1638408,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/22/17,1951352,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/23/17,2328041,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/24/17,4183203,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/25/17,3395172,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/26/17,906359,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/27/17,0,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/28/17,,It's Beginning to Look a Lot like Christmas,Michael Bublé
12/29/17,,It's Beginning to Look a Lot like Christmas,Michael Bublé
