day,streams,song,performer
12/1/17,1830598,Last Christmas,Wham!
12/2/17,2181254,Last Christmas,Wham!
12/3/17,2323958,Last Christmas,Wham!
12/4/17,1799084,Last Christmas,Wham!
12/5/17,1784062,Last Christmas,Wham!
12/6/17,1816212,Last Christmas,Wham!
12/7/17,1797248,Last Christmas,Wham!
12/8/17,2121152,Last Christmas,Wham!
12/9/17,2564005,Last Christmas,Wham!
12/10/17,2542487,Last Christmas,Wham!
12/11/17,1909890,Last Christmas,Wham!
12/12/17,1869064,Last Christmas,Wham!
12/13/17,1911089,Last Christmas,Wham!
12/14/17,2001296,Last Christmas,Wham!
12/15/17,2156377,Last Christmas,Wham!
12/16/17,2527814,Last Christmas,Wham!
12/17/17,2347993,Last Christmas,Wham!
12/18/17,2008002,Last Christmas,Wham!
12/19/17,2101005,Last Christmas,Wham!
12/20/17,2277230,Last Christmas,Wham!
12/21/17,2688086,Last Christmas,Wham!
12/22/17,3308262,Last Christmas,Wham!
12/23/17,3899081,Last Christmas,Wham!
12/24/17,6485447,Last Christmas,Wham!
12/25/17,5122502,Last Christmas,Wham!
12/26/17,1486147,Last Christmas,Wham!
12/27/17,687126,Last Christmas,Wham!
12/28/17,0,Last Christmas,Wham!
12/29/17,0,Last Christmas,Wham!
